address,activity_days
"JABATAN PENGANGKUTAN JALAN, PEJABAT PENTADBIRAN FELDA WILAYAH SELATAN,JALAN BATU PAHAT,JALAN BATU PAHAT, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"WISMA PERSEKUTUAN,JALAN BATU PAHAT,JALAN BATU PAHAT, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"SMK SERI PERDANA,JALAN NIYOR,JALAN NIYOR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"LORONG 1,KAMPUNG KOLAM AIR, KLUANG JOHOR","Monday,Thursday"
"LORONG 2,KAMPUNG KOLAM AIR, KLUANG JOHOR","Monday,Thursday"
"LORONG 3,KAMPUNG KOLAM AIR, KLUANG JOHOR","Monday,Thursday"
"SK SERI LALANG,JALAN SEKOLAH,KAMPUNG MELAYU BATU 6, SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN BERANGAN,KAWASAN PASAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"PASAR AWAM,JALAN BERANGAN,KAWASAN PASAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday"
"JALAN TEMBIKAI,KAWASAN PASAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"JALAN RAMBUTAN,KAWASAN PASAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
"MPK,JALAN PEJABAT KERAJAAN 1,KAWASAN PEJABAT KERAJAAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"PEJABAT AGAMA KLUANG,JALAN PEJABAT KERAJAAN 1,KAWASAN PEJABAT KERAJAAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"KASTAM,JALAN PEJABAT KERAJAAN 1,KAWASAN PEJABAT KERAJAAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
" MAHKAMAH TINGGI,JALAN PEJABAT KERAJAAN 1,KAWASAN PEJABAT KERAJAAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JABATAN KERJA RAYA,JALAN PEJABAT KERAJAAN 2,KAWASAN PEJABAT KERAJAAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"KEDIAMAN JURUTERA JKR,JALAN KOLAM AIR,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday"
"KUARTERS KERAJAAN,JALAN KOLAM AIR,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday"
"KEDIAMAN PEGAWAI DAERAH KLUANG,JALAN KOLAM AIR,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday"
"KEDIAMAN YANG DI-PERTUA MPK,JALAN KOLAM AIR,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday"
"ISTANA SRI LAMBAK,JALAN KOLAM AIR,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday"
"KEDIAMAN RASMI PEGAWAI KANAN POLIS,JALAN KEBUN TEH,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday"
