year,monthId,pbt,park,street,location,activity_days
2023,5,MP KLUANG,JALAN BATU PAHAT,JALAN BATU PAHAT,"JABATAN PENGANGKUTAN JALAN, PEJABAT PENTADBIRAN FELDA WILAYAH SELATAN","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,JALAN BATU PAHAT,JALAN BATU PAHAT,WISMA PERSEKUTUAN,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,JALAN NIYOR,JALAN NIYOR,SMK SERI PERDANA,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,KAMPUNG KOLAM AIR,LORONG 1,,"Monday,Thursday"
2023,5,MP KLUANG,KAMPUNG KOLAM AIR,LORONG 2,,"Monday,Thursday"
2023,5,MP KLUANG,KAMPUNG KOLAM AIR,LORONG 3,,"Monday,Thursday"
2023,5,MP KLUANG,"KAMPUNG MELAYU BATU 6, SRI LALANG",JALAN SEKOLAH,SK SERI LALANG,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,KAWASAN PASAR,JALAN BERANGAN,,"Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
2023,5,MP KLUANG,KAWASAN PASAR,JALAN BERANGAN,PASAR AWAM,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday"
2023,5,MP KLUANG,KAWASAN PASAR,JALAN TEMBIKAI,,"Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
2023,5,MP KLUANG,KAWASAN PASAR,JALAN RAMBUTAN,,"Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday"
2023,5,MP KLUANG,KAWASAN PEJABAT KERAJAAN,JALAN PEJABAT KERAJAAN 1,MPK,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,KAWASAN PEJABAT KERAJAAN,JALAN PEJABAT KERAJAAN 1,PEJABAT AGAMA KLUANG,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,KAWASAN PEJABAT KERAJAAN,JALAN PEJABAT KERAJAAN 1,KASTAM,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,KAWASAN PEJABAT KERAJAAN,JALAN PEJABAT KERAJAAN 1, MAHKAMAH TINGGI,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,KAWASAN PEJABAT KERAJAAN,JALAN PEJABAT KERAJAAN 2,JABATAN KERJA RAYA,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,KAWASAN RUMAH VVIP,JALAN KOLAM AIR,KEDIAMAN JURUTERA JKR,"Wednesday,Sunday"
2023,5,MP KLUANG,KAWASAN RUMAH VVIP,JALAN KOLAM AIR,KUARTERS KERAJAAN,"Wednesday,Sunday"
2023,5,MP KLUANG,KAWASAN RUMAH VVIP,JALAN KOLAM AIR,KEDIAMAN PEGAWAI DAERAH KLUANG,"Wednesday,Sunday"
2023,5,MP KLUANG,KAWASAN RUMAH VVIP,JALAN KOLAM AIR,KEDIAMAN YANG DI-PERTUA MPK,"Wednesday,Sunday"
2023,5,MP KLUANG,KAWASAN RUMAH VVIP,JALAN KOLAM AIR,ISTANA SRI LAMBAK,"Wednesday,Sunday"
2023,5,MP KLUANG,KAWASAN RUMAH VVIP,JALAN KEBUN TEH,KEDIAMAN RASMI PEGAWAI KANAN POLIS,"Wednesday,Sunday"
2023,5,MP KLUANG,KAWASAN RUMAH VVIP,JALAN KEBUN TEH,KEDIAMAN PENTADBIR TANAH KLUANG,"Wednesday,Sunday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN BAHARU,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN BUKIT,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN ESTET,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN ESTET,SURAU,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN HUJUNG,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN HUJUNG 2,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN HUJUNG 3,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN HUJUNG 4,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN HUJUNG 5,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN KLINIK,PASAR AWAM,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN MERDEKA,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN MERDEKA,,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN MERDEKA,,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN MERDEKA,GERAI MPK,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN PASAR,,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN PASAR,,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN PAYA,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN PAYA A,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN PAYA B,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN PAYA C,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN PAYA C,BALAI POLIS SRI LALANG,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN PAYA D,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN PAYA E,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN PENDEK,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN RUMAH PANJANG,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN SELAMAT,,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN SUNGAI,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN TEPI,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,JALAN TINGGI,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,LORONG B1,,"Monday,Thursday"
2023,5,MP KLUANG,KAWASAN SRI LALANG,LORONG TINGGI 1,,"Monday,Thursday"
