Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  5.135   567.69652],[ 0.34172357 39.46930609],[  5.    443.016],[  6.    681.945],"[1, 35, 15, 49, 5, 57, 55, 44, 18, 63, 66, 61, 7, 68, 25, 33, 16, 14, 58, 59, 11, 42, 39, 8, 17, 65, 36, 2, 9, 34, 21, 38, 27, 46, 62, 4, 26, 24, 19, 50, 6, 3, 56, 13, 41, 54, 30, 67, 10, 53, 60, 45, 32, 47, 22, 28, 40, 20, 37, 29, 23, 52, 43, 31, 48, 51, 64, 12]","(5.0, 443.01599999999996)"
1,330,[  5.075     528.2007925],[ 0.26339134 20.39313732],[  5.    443.016],[  6.    557.051],"[1, 35, 15, 49, 5, 57, 55, 44, 18, 63, 66, 61, 7, 68, 25, 33, 16, 14, 58, 59, 11, 42, 39, 8, 17, 65, 36, 2, 9, 34, 21, 38, 27, 46, 62, 4, 26, 24, 19, 50, 6, 3, 56, 13, 41, 54, 30, 67, 10, 53, 60, 45, 32, 47, 22, 28, 40, 20, 37, 29, 23, 52, 43, 31, 48, 51, 64, 12]","(5.0, 443.01599999999996)"
2,346,[  5.05     507.535995],[ 0.21794495 16.50975703],[  5.   442.37],[  6.    526.948],"[1, 35, 15, 49, 5, 57, 55, 44, 18, 63, 66, 61, 7, 68, 25, 33, 16, 14, 58, 59, 65, 42, 39, 8, 17, 11, 36, 2, 9, 34, 21, 38, 27, 46, 62, 4, 26, 24, 19, 50, 6, 3, 56, 13, 41, 54, 30, 67, 10, 53, 60, 45, 32, 47, 22, 28, 40, 20, 37, 29, 23, 52, 43, 31, 48, 51, 64, 12]","(5.0, 442.37)"
3,330,[  5.0425   490.664425],[ 0.20172692 15.15624113],[  5.   442.37],[  6.    508.394],"[1, 35, 15, 49, 5, 57, 55, 44, 18, 63, 66, 61, 7, 68, 25, 33, 16, 14, 58, 59, 65, 42, 39, 8, 17, 11, 36, 2, 9, 34, 21, 38, 27, 46, 62, 4, 26, 24, 19, 50, 6, 3, 56, 13, 41, 54, 30, 67, 10, 53, 60, 45, 32, 47, 22, 28, 40, 20, 37, 29, 23, 52, 43, 31, 48, 51, 64, 12]","(5.0, 442.37)"
4,334,[  5.0475    476.4583475],[ 0.21270578 13.09420363],[  5.    437.036],[  6.    491.261],"[33, 32, 42, 6, 26, 44, 53, 13, 60, 2, 18, 66, 16, 11, 17, 35, 19, 38, 22, 47, 49, 37, 50, 31, 43, 9, 68, 5, 34, 46, 14, 55, 61, 62, 21, 51, 40, 65, 48, 1, 10, 4, 54, 36, 15, 8, 39, 25, 64, 29, 20, 7, 28, 41, 57, 58, 45, 23, 63, 59, 56, 67, 3, 27, 52, 30, 24, 12]","(5.0, 437.036)"
5,342,[  5.0325   464.275355],[ 0.17732386 11.87585728],[  5.    418.664],[  6.    479.037],"[28, 35, 15, 2, 5, 57, 55, 44, 18, 63, 66, 61, 7, 68, 9, 60, 16, 14, 58, 59, 11, 42, 39, 33, 17, 64, 36, 24, 25, 34, 21, 27, 38, 46, 62, 4, 26, 49, 19, 50, 6, 3, 56, 13, 41, 54, 30, 67, 10, 53, 8, 45, 32, 48, 22, 65, 40, 20, 37, 29, 23, 52, 43, 31, 47, 51, 1, 12]","(5.0, 418.66400000000004)"
6,336,[  5.035     453.2700275],[0.18377976 8.56649303],[  5.    414.834],[  6.   466.72],"[1, 35, 15, 60, 5, 57, 3, 44, 18, 63, 66, 61, 7, 68, 22, 33, 8, 14, 58, 59, 11, 42, 39, 16, 17, 65, 37, 2, 9, 34, 21, 38, 27, 46, 62, 4, 26, 24, 19, 50, 6, 55, 56, 13, 41, 54, 30, 67, 10, 53, 49, 45, 32, 47, 25, 28, 40, 29, 36, 20, 23, 52, 43, 31, 48, 51, 64, 12]","(5.0, 414.83399999999995)"
7,354,[  5.0125    445.3784275],[0.11110243 7.21507845],[  5.    413.036],[  6.    454.915],"[1, 35, 34, 49, 5, 57, 3, 44, 18, 63, 66, 61, 7, 68, 22, 33, 8, 14, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 15, 21, 38, 27, 46, 62, 4, 26, 53, 19, 36, 6, 55, 56, 13, 41, 54, 31, 43, 10, 24, 60, 45, 32, 47, 25, 28, 40, 29, 37, 20, 23, 52, 50, 30, 48, 51, 64, 12]","(5.0, 413.036)"
8,326,[  5.0125    439.3181975],[0.11110243 7.97360104],[  5.    404.627],[  6.    445.313],"[1, 35, 32, 49, 5, 57, 3, 44, 18, 63, 66, 61, 7, 68, 22, 33, 8, 14, 58, 59, 11, 42, 39, 16, 17, 65, 10, 2, 9, 34, 21, 38, 27, 46, 62, 4, 26, 24, 19, 51, 6, 55, 56, 13, 67, 54, 30, 41, 36, 53, 60, 45, 15, 47, 25, 28, 40, 29, 37, 20, 23, 52, 50, 31, 48, 43, 64, 12]","(5.0, 404.62699999999995)"
9,350,[  5.015   432.84181],[0.12155246 9.78350415],[  5.    393.937],[  6.    443.499],"[1, 35, 34, 49, 5, 57, 3, 44, 18, 63, 66, 61, 7, 68, 22, 33, 8, 14, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 15, 21, 38, 27, 46, 62, 51, 26, 53, 19, 36, 6, 55, 56, 13, 41, 54, 31, 43, 48, 24, 60, 45, 32, 47, 25, 28, 40, 29, 37, 20, 23, 52, 50, 30, 10, 4, 64, 12]","(5.0, 393.93699999999995)"
