Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[   4.995     1126.3276875],[ 0.07053368 22.31243634],[  4.    928.806],[   5.    1167.077],"[23, 14, 17, 5, 1, 15, 11, 3, 20, 10, 22, 7, 24, 30, 21, 4, 29, 18, 13, 25, 2, 8, 12, 27, 9, 26, 6, 16, 19, 28]","(4.0, 928.806)"
1,340,[   4.9875   1106.260945],[ 0.11110243 22.57672967],[  4.    928.806],[   5.    1124.149],"[23, 14, 17, 5, 1, 15, 11, 3, 20, 10, 22, 7, 24, 30, 21, 4, 29, 18, 13, 25, 2, 8, 12, 27, 9, 26, 6, 16, 19, 28]","(4.0, 928.806)"
2,330,[   4.9675  1090.73689],[ 0.17732386 29.78866057],[  4.   909.26],[   5.    1106.913],"[21, 2, 28, 6, 22, 4, 24, 8, 10, 12, 27, 3, 25, 9, 13, 7, 30, 19, 17, 29, 5, 15, 14, 16, 1, 11, 23, 18, 20, 26]","(4.0, 909.26)"
3,344,[   4.9225  1075.26328],[ 0.26738315 41.28600415],[  4.   909.26],[   5.    1096.588],"[21, 2, 28, 6, 22, 4, 24, 8, 10, 12, 27, 3, 25, 9, 13, 7, 30, 19, 17, 29, 5, 15, 14, 16, 1, 11, 23, 18, 20, 26]","(4.0, 909.26)"
4,346,[   4.8225   1052.843675],[ 0.38209128 54.82101425],[  4.   909.26],[   5.    1087.038],"[21, 2, 28, 6, 22, 4, 24, 8, 10, 12, 27, 3, 25, 9, 13, 7, 30, 19, 17, 29, 5, 15, 14, 16, 1, 11, 23, 18, 20, 26]","(4.0, 909.26)"
5,318,[   4.6075  1014.64516],[ 0.48830702 63.94675703],[  4.    888.112],[   5.    1079.831],"[21, 2, 28, 6, 22, 4, 11, 8, 10, 12, 27, 3, 25, 9, 23, 7, 30, 19, 17, 29, 5, 15, 18, 16, 1, 20, 13, 14, 24, 26]","(4.0, 888.1119999999999)"
6,340,[  4.215   960.06064],[ 0.41082235 48.50308248],[  4.    888.112],[   5.    1050.187],"[21, 2, 28, 6, 22, 4, 11, 8, 10, 12, 27, 3, 25, 9, 23, 7, 30, 19, 17, 29, 5, 15, 18, 16, 1, 20, 13, 14, 24, 26]","(4.0, 888.1119999999999)"
7,340,[  4.       927.924265],[ 0.         14.84373386],[  4.    888.112],[  4.    946.005],"[21, 2, 28, 6, 22, 4, 11, 8, 10, 12, 27, 3, 25, 9, 23, 7, 30, 19, 17, 29, 5, 15, 18, 16, 1, 20, 13, 14, 24, 26]","(4.0, 888.1119999999999)"
8,362,[  4.        915.2526575],[ 0.         12.09780803],[  4.    887.501],[  4.    936.654],"[21, 2, 28, 6, 22, 4, 11, 8, 10, 12, 27, 3, 25, 9, 23, 7, 30, 19, 17, 16, 5, 15, 18, 29, 1, 20, 13, 14, 24, 26]","(4.0, 887.501)"
9,336,[  4.        905.2354775],[0.         7.12439814],[  4.    886.419],[  4.   909.26],"[21, 2, 28, 6, 22, 4, 11, 8, 10, 12, 27, 3, 25, 9, 23, 26, 30, 20, 17, 29, 5, 15, 18, 16, 1, 7, 13, 14, 24, 19]","(4.0, 886.4189999999999)"
